spell,imi,pertid,count
"call","呼ぶ、考える、電話をかける、起こす、審議にかける、命令する、中止する、判定する、返済を要求する、前もって宣言する、予言する、ちょっと訪れる、停車する","2","1"
"capable","能力がある、有能な","4","1"
"cause","原因となる、もたらす、～させる","2","1"
"certain","確信している、間違いなく～する、確かである、若干の、特定の、不可避の","4","2"
"characterize","述べる、特徴づける","2","1"
"clearly","はっきりと、わかりやすく、疑いなく","8","2"
"code","暗号にする、コード化する","2","2"
"combine","結合させる、組み合わせる、化合させる","2","2"
"communicate","知らせる、伝達する、伝える、うつす、通じている","2","1"
"completely","完全に、すっかり、徹底的に","8","1"
"completion","完成、完了、最終段階","1","1"
"component","構成要素、成分、分力","1","1"
"comprise","含む、構成する","2","1"
"concentrate","集中する、濃縮する、選鉱する、集まる、専念する","2","1"
"concern","関することである、関係する、心配させる、気にかける","2","1"
"conclude","結論を下す、終える、締結する、結びとする","2","2"
"concurrency","同時並行、同時並行性","1","1"
"concurrent","同時に発生する、兼任の、同一の、協力する、一点に集まる","4","1"
"condition","状態、状況、条件、病気","1","1"
"configuration","形状、配列、星位、星座、立体配置、構成、環境設定","1","1"
"confuse","困惑させる、混同する、あいまいにする","2","1"
"consciousness","気づいていること、意識","1","1"
"consider","よく考える、～だとみなす、考慮に入れる、中止する","2","1"
"consist","成り立つ、ある","2","3"
"consortium","共同企業体、協会","1","1"
"constant","一定不変のもの、定数、定項","1","2"
"constantly","絶えず、いつも","8","1"
"constitute","みなされる、等しい、構成要素となる、占める、構成する、制定する、設置する、任命する","2","1"
"constrain","強いる、抑制する","2","2"
"constraint","制限すること、抑制","1","2"
"construction","建設、構造、解釈","1","1"
"constructor","圧縮するもの、収縮筋","1","1"
"contain","含む、入る、相当する、抑える、防ぐ、牽制する、割り切れる、囲む","2","1"
"content","満足して、喜んで～する、賛成で","4","1"
"continuously","連続的に","8","1"
"contradict","否定する、反論する、～と矛盾する","2","1"
"contrary","逆","1","1"
"control","支配する、管理する、制御する、抑える、調整する、照合する","2","1"
"convenience","便利、便利なもの","1","1"
"convenient","便利な、都合のよい、自分勝手な、ちょうど近くにある","4","1"
"conventionally","談話で、くだけて","8","1"
"correctly","正しく、適切に","8","1"
"correspond","一致する、調和する、相当する、対応する、文通する","2","1"
"couple","つなぐ、連結する、合わせる、ペアにする","2","1"
"cover","覆う、かばう、含む、行く、取材する、報道する、～してやる、補う、～に向ける、ガードする、カバーバージョンを録音する","2","1"
"craft","精巧に作る、作りあげる","2","1"
"customary","習慣的な、いつもの","4","1"
"dandy","とびきりの、極上の、おしゃれな","4","1"
"deal","配る、分配する、加える、与える、売買する","2","4"
"decision","決定、解決、決心、判決、決断力","1","1"
"declaration","宣言、発表、表明","1","1"
"decorate","装飾する、壁紙をはる、勲章を授ける","2","1"
"deduce","達する、推定する、たどる","2","1"
"default","履行しない、裁判に欠席する、怠る","2","1"
"definite","一定の、明確な、限定する、有限の、はっきりした","4","1"
"definition","定義、記述、限定、明確化、解像度","1","2"
"delve","掘り下げる、徹底的に調べる、掘る","2","2"
"dendrogram","系統樹","1","1"
"denote","印である、外延を示す、意味する","2","1"
"depend","～次第である、頼る、信頼する","2","1"
"derivative","派生物、導関数、微分係数、誘導体、金融派生商品","1","1"
"derive","引き出す、由来する、推論する、誘導する、微分する","2","2"
"describe","特徴を述べる、描写する、～を～だと言う、表す","2","2"
"description","記述、人相、種類","1","1"
"destination","	目的地、行き先、到着地、届け先、あて先","2","1"
"detail","詳しく述べる、就かせる、派遣する、細部まできれいに洗う","2","1"
"detect","見つける、～しているのを発見する、～ということを知る、認識する","2","2"
"determination","決心、決定、測定、判決","1","1"
"determine","発見する、決定する、結論を出す、判断する、決心する、限定する、終結させる","2","7"
"deterministic","決定論の、決定論的な","4","2"
"difference","相違、違い、差、不和、重要性、影響、差異、血統のマーク","1","1"
"differential","差別的な、特異な、弁別的な、微分の","4","1"
"differentiation","分化、差別化、微分法","1","1"
"direction","方向、傾向、行き方、指導、説明、目標、演奏指示","1","1"
"discussion","議論、解説、論文","1","1"
"distance","距離、道のり、相違、敬遠、音程、距離関数","1","2"
"distinguish","見分ける、区別する、特徴づける、はっきりと認める、目立たせる、分類する","2","1"
"distribute","分配する、割り当てる、配布する、発送する、塗る、区分する、拡充する、解版する","2","4"
"distribution","配分、配布、分布、流通、配列、拡充","1","1"
"drive","運転する、動かす、～を～にする、駆り立てる、追う、打ち込む、掘る、酷使する、強打する","2","1"
"drop","落ちる、したたる、ばったり倒れる、下がる、やめる、ひょいと立ち寄る、急に～の状態になる、遅れる、もらす、殴り倒す、殺す、飲む、産む","2","1"
"durability","耐久性、永続力","1","1"
"during","間じゅう、~の間に","3","1"
"dynamically","活動的に","8","1"
"each","それぞれの","4","3"
"each","おのおの","5","4"
"effect","結果、効果、所持品、現象","1","1"
"effect","もたらす、達成する","2","4"
"efficient","有能な、能率的な","4","1"
"efficiently","能率的に、効果的に","8","1"
"either","いずれか、どちらでも","5","1"
"elastic","ゴム紐、伸縮性の素材","1","1"
"elsewhere","どこかほかの所で","8","2"
"embed","埋め込む、花壇に植える、深くとどめる、挿入する、軍に同伴させる","2","3"
"embrace","抱きしめる、採用する、含む","2","1"
"emerge","出てくる、現れる、身を起こす","2","1"
"emotional","感情の、感動的な","4","1"
"emphasize","強調する","2","1"
"encapsulation","カプセル化","1","1"
"encode","符号化する、使って発表する","2","1"
"encounter","あう、出くわす、遭遇する","2","1"
"enforce","守らせる、強要する、強化する、論拠を補強する","2","1"
"enough","十分に、～するほど十分に、まったく、まあまあ","8","2"
"ensemble","合奏団、アンサンブル、全体、全体的効果、調和した物","1","1"
"ensure","保証する、確信する","2","1"
"entire","全体の、完全な、連続した、ぎざぎざのない","4","1"
"entirely","まったく","8","3"
"envisage","心に描く、予想する","2","1"
"envision","心に描く、予想する","2","1"
"equal","等しい、基準に達する、生み出す","2","3"
"equation","均一化、平衡、方程式、等式、均差、誤差","1","1"
"equivalence","等価、同義、同値","1","1"
"equivalent","同等の、等量の","4","1"
"escalate","段階的に拡大、エスカレートする","2","1"
"establish","設立する、設置する、設ける、確立する、立証する、定着させる、忠実に描く","2","3"
"evaluate","価値を見極める、数値を求める","2","2"
"even","平らな、同じ高さの、むらのない、規則正しい、等分の、つり合いのとれた、偶数の、清算済みの、公平な、落ち着いた","4","5"
"even","～さえ、さらに、それどころか、ちょうど～のときに、まさに","8","5"
"eventually","結局は","8","1"
"ever","これまでに、一度でも、いつか、ずっと、絶対に、かつて、ますます、いったい、そもそも","8","2"
"every","あらゆる、～ごとに、すべての","4","2"
"everywhere","あらゆる場所","1","1"
"everywhere","いたるところで、どこえ～しても","8","1"
"evident","明白な","4","1"
"evidently","明らかに、見たところ～らしい","8","2"
"except","～を除いて、～以外は","3","1"
"exchange"," 交換する、両替する、取り交わす","2","1"
"exclusion","除外、排除","1","1"
"exclusively","もっぱら、まったく～のみ、排他的に、独占的に","8","2"
"execute","死刑にする、実行する、制作する、執行する","2","2"
"exicitement","興奮、刺激","1","1"
"expand","広げる、発展させる、なごむ、詳細に話す","2","1"
"expect","予期する、～するだろうと思う、～するつもりである、期待する、～してほしいと思う、～だと思う","2","2"
"experience","経験","1","2"
"explicit","明白な、明確な、陽関数表示の","4","1"
"explicitly","明白に、はっきりと","8","2"
"explore","探索する、調査する","2","2"
"expose","さらす、見せる、暴露する、触れさせる、体験させる、感光させる","2","1"
"express","表現する、述べる、絞る、速達で送る","2","1"
"expression","表現、言い回し、表情、調子、表示、式、形式","1","1"
"external","外部の、外用の、外界の、外国の、表面上の、形式的な、範囲外の","4","2"
"extrema","極値","1","1"
"extremum","極値","1","1"
"facility","設備、施設、機関、部屋、建築物、才能、器用さ、機能、装置、容易さ、トイレ、融資","1","1"
"factor","要因、因数、要素、係数、融資者","1","1"
"failure","失敗、怠慢、損傷、欠乏、不作、衰退、故障、賢不全、倒産、落第","1","1"
"familiarize","慣れさせる、精通する、普及させる","2","1"
"fast","しっかりと、どんどん","8","1"
"feature","特徴、顔だち、特集記事、素性","1","3"
"feature","呼び物にする、特集する、出演させている、上演する、～の特徴がある","2","2"
"fine","立派な、見事な、十分な、晴れた、元気な、細かい、微妙な、洗練された、飾り立てた、高潔な、鋭い、精製された","4","1"
"finite","限定された、有限の、数えられる","4","1"
"fire","発射する、解雇する、かきたてる、焼く、燃やす、爆破する、輝く","2","2"
"footnote","脚注、補足説明","1","1"
"force-directed","力学モデル","1","1"
"form","形、種類、形態、型、書式、体調、表し方、慣例、礼儀、作法、学級、前科記録、決まり文句、ベンチ、形式","1","2"
"form","形作る、結成する、形成する、練り上げる、整列させる、はっきりという、構成する、発生する、機能する、隊列を作る","2","1"
"formal","形式的な、格式ばった、正式の、公式的な、規則的な、語形の","4","1"
"format","型、構成、フォーマット、書式、録音形式","1","2"
"format","大裁を整える、配列する、初期化する","2","1"
"formulae","公式、式","1","1"
"formulate","公式化する、定式化する、明確に述べる、練り上げる","2","2"
"formulation","公式化、定式化、明確な記述、製法","1","1"
"foundation","建設、創立、基本金、土台、基礎、下塗り、台札","1","1"
"free","自由にする","2","1"
"freely","自由に、気前よく","8","1"
"freeze","凍る、氷が張る、凍るほど寒く感じる、ぞっとする、さびつく、冷凍保存できる、フリーズする、凍死する、麻痺させる、中止する、法的に差し止める","2","1"
"fully","十分に、完全に","8","1"
"function","機能、作用、儀式、相関的要素、関数","1","1"
"functional","機能上の、作用できる、便利な、関数の","4","1"
"fundamental","基本的な、重要な、基本位置の","4","2"
"further","さらに遠くへ、さらに進んで、さらに言えば、他のところで","8","2"
"gear","歯車、道具、～装置","1","21"
"gear","連動させる、適合させる","2","21"
"general","概略の、全体的な、世間一般の、一般的な、高い地位の","4","1"
"generate","発生させる、生み出す、起こす、生成する、記述する","2","2"
"generic","一般的な、商標登録されていない、無印の、属の","4","2"
"geometric","幾何学の、幾何学様式の","4","1"
"geospatial","特定地に関する","4","1"
"global","全世界の、世界的な、全体的な、球状の、全域にわたる","4","1"
"govern","治める、左右する、支配する、抑制する、制御する、決定する","2","1"
"grab","不意につかむ、ひったくる、素早く食べる、とらえる、逮捕する、大いに印象付ける","2","1"
"grow","成長する、なる、増える、発展する、栽培する","2","2"
"guarantee","保証する、約束する","2","2"
"hand-edit","手書き修正する","2","2"
"hence","それゆえ、したがって、今から","8","1"
"hierarchical","階層制の","4","2"
"highly","非常に、大いに、高価に","8","1"
"hinge","関節","1","1"
"hitherto","今まで、今のところ","8","1"
"hog","むさぼる、独り占めする","2","1"
"hold","持っている、握っている、催す、所有する、拘束する、～の状態にしておく、～だと思う、収容できる、支える、用意している、控える、維持する、遅らせる、酔わない、しっかりとらえる","2","2"
"homogeneity","同種、同質、同次性","1","2"
"host","主催する、司会する、運営する、接待する","2","1"
"however","どんなに～とも、どんな方法で～とも、しかしながら、いったいどのようにして","8","3"
"hybrid","雑種、混成語","1","1"
"identical","同一の、一致する、一卵性の","4","1"
"identically","同様に、等しく","8","1"
"immediate","即座の、当面の、直接の","4","1"
"immutable","不変の","4","1"
"implementation","実行、実施","1","1"
"imply","暗に意味する、ほのめかす","2","2"
"improve","進歩させる、向上させる、改良する、価値を高める、よくなる","2","1"
"income","収入","1","1"
"incoming","入ってくる、後任の、新入りの","4","1"
"incomplete","不完全な、不成功の","4","1"
"indefinitely","無関心に、へたに","8","3"
"indefiniteness","不確定","1","1"
"independently","独立して、自由に、無関係に","8","1"
"indicate","徴候である、明らかにする、はっきりさせる、指し示す、必要とする、方向指示器で合図する","2","1"
"individual","個々の、個人の、独特の、個体の","4","1"
"infer","推察する、暗に意味する、推測する","2","2"
"inference","推論、結論、含蓄","1","1"
"infinitely","大いに、無限に","8","1"
"infinitesimal","非常に少ない、無限小の、微量の","4","1"
"infinity","無限、無限大","1","1"
"inhomogeneous","不均質な","4","1"
"injection","注入、注射、投入","1","1"
"input","援助、貢献、入力、投入、電力","1","2"
"input","インプットする","2","2"
"inspire","鼓舞する、感激させる、引き起こす、吸い込む","2","1"
"instant","瞬間","1","1"
"instantaneous","即座の、瞬間の、ある特定の瞬間に存在する、同時に","4","1"
"instantiate","例示する","2","3"
"instead","その代わりに","8","1"
"integral","全体、積分","1","1"
"integrand","被積分関数","1","1"
"integrate","まとめる、集約する、融和させる、積分する","2","3"
"integration","統合、統一","1","1"
"integrity","誠実、規準、規範、完全","1","2"
"interact","互いに影響しあう、相互に作用する","2","1"
"interest","関心、興味、利子、利益、重要性、所有権、同業者、勢力","1","2"
"interleave","差し込む","2","1"
"interval","間隔、休憩時間、距離、区間、音程","1","1"
"intimidate","脅迫する、おびえさせる","2","2"
"invariance","不変性","1","1"
"invariant","一定の、不変の","4","1"
"invoke","発動する、実施する、引き合いに出す、呼びかける、呼び出す、出させる、起動する、処理する","2","1"
"involve","必ず含む、必要とする、巻き込む、関係させる、参加する","2","2"
"isolate","孤立させる、分離する、単離する、絶縁する","2","1"
"isolation","孤立、分離、隔離","1","1"
"isotropic","等方性の","4","2"
"iterate","反復する、繰り返す","2","3"
"land","土地、陸、農地、国、領域、世界、所有地、天然資材、施条溝の間","1","1"
"law","法、法律、法学、法則、原理、おきて、裁判、慣習","1","1"
"lead","導く、案内する、連れていく、気にさせる、率いる、生活を送る、誘導尋問をする、通す、最初に出す","2","2"
"letter","手紙、文字、文学、字義、文字通りの意味","1","1"
"like","～似た、～のような、～と同じように、～らしく","3","1"
"likely","ありそうな、～しそうである、適当な、本当らしい","4","1"
"likewise","同じように、同様に、さらに、また","8","2"
"linear","線の、一次元の、直線的な、線形の","4","1"
"listener","聴く人、聴取者","1","1"
"locality","付近、場所、現場","1","1"
"magnitude","大きいこと、重要性、等級、光度、マグニチュード","1","1"
"manipulate","操る、うまく処理する、ごまかす、触診する、操作する","2","1"
"manipulation","上手な扱い、市場操作、改竄、触診、操作","1","1"
"mathematically","数学的に","8","1"
"mean","意味する、つもりで言う、～するつもりである、与えるつもりである、運命にする、加えるつもりである、～とって～の重要性を持つ","2","1"
"meaningful","意味のある、重要な","4","1"
"mechanics","力学、機械学、手順、方法、技巧","1","1"
"mention","話に出す、～のことを書く、言及する","2","1"
"mind","知力、心、精神、ものの考え方、意見、注意、記憶、正気","1","1"
"minimize","最小限にする、軽視する、最小化する","2","1"
"mock","偽の、みせかけの、まねごとの","4","1"
"modification","修正、変更、加減、制限、修飾、変形","1","1"
"modify","修正する、和らげる、修飾させる、限定する、ウムラウトによって変化させる","2","3"
"motion","運動、動作、提案、便通、進行","1","1"
"multiplication","増加、乗法","1","1"
"multiply","掛ける、増やす、広がる","2","1"
"mutable","変わりやすい、無常の","4","1"
"mutual","相互の、共通の","4","1"
"naive","単純な、だまされやすい、無邪気な、素朴な","4","1"
"namely","すなわち、つまり","8","1"
"naturally","予想されるように、自然に、気取らずに、もちろん、生まれつき","8","1"
"nature","自然、性質、種類、原始的状態、実物","1","1"
"necessarily","必ず、必然的に、余儀なく、必ずしも","8","1"
"needlessly","必要もないのに、むだに","8","1"
"negative","否定的な、害のある、否定の、不賛成の、陰性の、負の","4","1"
"neglect","かまわないでおく、怠る、無視する、しないでおく","2","1"
"negligible","無視できるほど、取るに足らない、つまらない、わずかな","4","1"
"nonuniqueness","非唯一性、非一意性、非一義性","1","1"
"normal","標準、平均、垂直線","1","1"
"note","注意を払う、言及する、書きとどめる","2","1"
"numeric","数の、数的な","4","1"
"obey","従う、守る、働く","2","1"
"obtain","得る、通用する","2","2"
"occupy","占有する、とる、占領する、ひきつける、従事する","2","1"
"omit","除外する、書き落とす、するのを忘れる、しないでおく","2","3"
"only","唯一の、ただ～だけの、最適の","4","1"
"operate","働く、作用する、手術をする、管理されている、処理をする、操作する","2","1"
"optimize","最適化する","2","1"
"optional","随意の、オプションの、選択の","4","1"
"order","命じる、注文する、指示する、きちんと配列する、整理する、管理する","2","1"
"ordering","整理、配列","1","1"
"ordinary","普通の、通常の、正規の、ありふれた、平凡な","4","1"
"orientation","方針決定、適応、向き、定位、配向","1","1"
"original","最初の、独創的な、原文の","4","1"
"otherwise","さもなければ、そうでなければ、別のやり方で、そのほかの点では","8","1"
"paragraph","段落、小記事","1","1"
"parallelism","平行、類似、対応、平行論、並立","1","2"
"parametrically","パラメーター的に","8","1"
"pare","皮をむく、切る、削減する","2","1"
"parental","親の","4","1"
"parse","構文解析する","2","1"
"part","部分、一部、側、味方、役目、地方、分け目、才能","1","1"
"partial","一部の、とても好きな、不公平な","4","1"
"participant","参加者、参与者","1","3"
"particle","小さな粒、不変化詞","1","1"
"particular","特定の、格別の、特有の、気難しい、特殊な","4","3"
"pass","通り過ぎる、進む、過ぎる、合格する、渡る、消える、起こる、変わる、見のがされる、判決する、ボールをパスする、出される、渡す、動かす、述べる、感染させる、広める、超える、負わせる","2","3"
"passively","受け身で、消極的に","8","1"
"path","小道、細道、散歩道、方向、軌道、方針、生き方","1","1"
"perceive","知覚する、理解する","2","1"
"perspective","観点、遠近法","1","2"
"pertain","属する、適する、似合う、関係する","2","1"
"physically","身体的に、物質的に、物理的に、自然法測定に、まったく","8","1"
"place","置く、状態にする、世話する、注文する、思い出す、順位をつける、都合よいように配置させる、する","2","1"
"possibility","可能性","1","1"
"possible","可能な、起こりうる、できる限りの、潜在的資質のある","4","2"
"potentially","潜在的に、もしかすると","8","1"
"power","権力、力、強国、体力、知力、活力、動力、電力、仕事率、指数、累乗、神、悪魔、能天使、倍率、検出力","1","1"
"pragmatic","実用的な、実用主義の、言語論の","4","1"
"precision","正確さ、精密、精度","1","1"
"predict","予言する","2","1"
"predictable","予測できる、当然の","4","1"
"prefer","好きである、むしろ～したい、～であることが良いと思う、～してもらいたい、提出する、優先権を与える","2","3"
"premise","前提、仮定、建物、店舗、前述の部分","1","1"
"prepare","用意する、立案する、覚悟する、準備する、訓練する、調合する","2","1"
"prerequisite","必須条件","1","1"
"prerequisite","不可欠の、必須の","4","1"
"present","贈呈する、提出する、出頭する、示す、紹介する、向ける","2","1"
"preserve","保つ、保存する、守る","2","1"
"primitive","原始人、原始関数、基本要素","1","3"
"proceed","続ける、進む、行われる、手続する、発生する","2","2"
"proceeding","手続、進行、続行、出来事、行為、行動、やり方、議事録、会報、報告集","1","2"
"process","加工する、処理する、現像する、起訴する、行進する","2","1"
"programmatically","プログラム上で","8","1"
"progress","進歩、向上、進行","1","2"
"progression","進行、発展、順行、連続、継続、数列","1","2"
"propagation","宣伝、繁殖","1","1"
"property","財産、不動産、性質、特性、所有、属性","1","1"
"proportional","比例する","4","1"
"protect","保護する、保存する、支払の準備をする、守る","2","1"
"quadratic","2次の","4","1"
"quite","かなり、まぁまぁ、非常に、まったく、全くその通り","8","1"
"radius","半径、範囲、橈骨、輻射線、径脈","1","1"
"rapidly","速く、急速に","8","1"
"ratio","比、比率、割合、比例","1","1"
"reach","着く、達する、届く、差し出す、取る、連絡を取る、動かす、見られる、追及する","2","1"
"readability","面白く読めること、読みやすいこと","1","1"
"realize","はっきり理解する、実現する、起こす、現実感を与える、現金に換える、得る、悟る、現金に換える","2","2"
"receive","受け取る、受ける、会見する、歓迎する、故買する、受信する、聖餐を受ける","2","2"
"recipient","受取人、レシピエント、容器","1","1"
"recognize","覚えがある、認める、表彰する","2","3"
"recommend","勧める、推奨する、推薦する、好評にする","2","1"
"rectangle","長方形","1","1"
"reduce","減少させる、変える、羽目に陥らせる、濃くする、元通りに戻す、約分する、解きやすい形にする、還元する、薄くする、減数分裂する","2","1"
"refer","言及する、参照する、関係する、適用される、委託する","2","2"
"regard","みなす、見る、抱く、注意を払う","2","1"
"register","登録する、記録する、示す、述べる、表す、心にとどめる、達成する","2","1"
"relate","関係づける、話す、なじむ、共感する","2","1"
"relation","関係、話、効力遡及","1","1"
"relatively","比較的、関連で、相対的に、比べて","8","1"
"relativistic","相対論的な、相対性理論の","4","1"
"reliable","信頼できる、確実な","4","1"
"remain","～のままである、とどまる、残っている","2","1"
"remainder","残り、余り、剰余、差、残余権、残本","1","1"
"remark","所見、意見、感想、注目","1","2"
"remarkable","注目すべき、異常な","4","1"
"remember","覚えている、思い出す、追悼する、贈り物をする、AのことをBによろしく伝える","2","1"
"remove","取り去る、脱ぐ、解任する、暗殺する","2","1"
"render","～を～の状態にさせる、与える、表現する、提出する、言い渡す、翻訳する、演奏する、描く、溶かす、下塗りする","2","1"
"replace","取って代わる、取り替える、代わりを見つける、戻す","2","2"
"represent","代表する、相当する、典型となる、表す、描く、言う、説明する","2","6"
"representation","表現、代表、講義","1","1"
"require","必要とする、要求する","2","3"
"resilient","立ち直りの早い、跳ね返る","4","1"
"resource","資源、財産、素質、資料、機転、算段","1","1"
"respect","尊敬、尊重、点、伝言、関係","1","1"
"respectively","それぞれ","8","2"
"rest","休憩、解放、静止、台、休憩所、休止、行間休止、死、～の残り、その他の人々、積立金","1","3"
"restriction","制限条件、制限","1","1"
"result","結果として生じる、終わる","2","2"
"retrieval","取り返し、検索","1","1"
"retrieve","取り戻す、回収する、回復する、挽回する、更生させる、検索する、埋め合わせる、償う、訂正する","2","4"
"reveal","明らかにする、見せる、知れる、哲示する","2","2"
"reverse","覆す、入れかえる、逆にする、反対方向に向ける","2","1"
"reverse","逆の、裏の、逆転する","4","1"
"reversible","逆にできる、元の状態に戻れる","4","3"
"rich","裕福な、富んでいる、興味深い、貴重な、こくのある、面白い、立派に、濃い","4","1"
"right","正しいこと、権利、右、真相","1","1"
"right-hand","右の、右側の、右手の、右縒りの、右回転の","4","1"
"rod","棒、釣り竿、ロッド、杆状体、ピストル","1","1"
"rotation","回転、自転、循環、輪作","1","1"
"routinely","いつものように、規定通りに","8","1"
"salient","謙虚な、重要な","4","1"
"same","同じこと、前述のこと","5","1"
"satisfy","満足させる、満たす、納得させる、返金する、当てはまる、条件を満たす","2","1"
"scaffold","足場、死刑","1","1"
"scaffolding","足場","1","1"
"scalable","拡張可能な","4","2"
"scope","範囲、機会、活動範囲","1","1"
"seamlessly","継ぎ目なく","8","1"
"segment","部分、線分、体節、分節","1","1"
"sense","感覚、感じ、認識力、判断力、自覚、観念、良識、正気、価値、見解","1","2"
"sequence","順序、配列、連続するもの、数列、反復進行","1","3"
"sequence","順番に並べる、配列を決定する","2","3"
"sequentially","経時的に、順次、結果的に","8","1"
"serve","出す、仕える、尽くす、かなう、役に立つ、供給する、必要を満たす、務める、扱う、執行する、勤務する、幸いする","2","1"
"set","ひとまとまり、仲間、受信機、集合、能力別クラス、恰好、様子、凝固、苗木","1","3"
"set","配置する、位置している、定める、設定する、整える、つける、調整する、与える、示す、向ける、活字にする、～の状態にする、～させる、固まらせる、沈む、流れる、体に合う、花をつける","2","2"
"shape","姿、状態、具体化、種類、特性、幻、型","1","1"
"signal","合図する、信号を送る、証拠となる","2","1"
"significant","重大な、意味のある、示差的な、かなりの","4","1"
"similarity","類似、相似","1","1"
"similarly","同様に","8","1"
"simplicity","簡単、質素","1","1"
"simplify","簡単にする","2","1"
"simply","単に、簡単に、質素に、まったく","8","1"
"simultaneous","同時の、連立の","4","1"
"simultaneously","同時に、いっせいに","8","1"
"slice","薄く切る、分割する、切る、切るように進む、スライスする、大幅に減らす、激減させる、切り開く","2","1"
"slight","軽視する","2","2"
"sluggish","怠惰な、反応が鈍い、のろい、不活発な","4","1"
"small","小さい、幼い、少ない、取るに足らない、たいしてない、小規模の、小文字の、けちな、弱い","4","1"
"some","いくらかの、物もある、ある、およそ、かなりの、相当な","4","4"
"something","何かあるもの、良いこと","1","1"
"something","何かであるもの、なんとか～","5","1"
"sometimes","時々","8","3"
"sort","分類する、並べ替える、解決する、調和する","2","2"
"span","及ぶ、含む、かかっている、かける、目測する、網で縛る","2","2"
"specifically","明確に、はっきりと、特に、すなわち","8","1"
"specify","具体的に挙げる、～ということを指定する、明細書に記載する","2","1"
"split","分裂させる、分ける、裂く、割る、核分裂させる、分解する、分離する、水で割る、帰る、散る、逃げる、密告する","2","1"
"stall","露店、仕切り部屋、失速","1","1"
"state","はっきり述べる、十分に述べる、指定する、決める","2","1"
"statement","声明、陳述、計算書、述べること、主張、主題の提示","1","1"
"stick","張り付ける、突き刺す、刺し殺す、突き出す、動けなくさせる、押し付ける、我慢する、くっつく、いつまでも残る、有効である、説得力がある、確定する、支柱を立てる","2","2"
